date,Midwest,National,Northeast,South,West,date_period
2022-07-02,7.594944241440571,7.875796265198113,4.238898318866143,6.0125471994469475,12.136620817194995,All Results
2022-07-09,9.620477630251457,9.23259535808433,5.232890625998122,8.035978290703422,12.266860428187332,All Results
2022-07-16,8.945274999270621,8.914817428233235,5.572574823330007,8.583622657598962,10.959759531184494,All Results
2022-07-23,9.6454070395121,9.53067337777385,6.721705774662285,9.186639296217933,11.156513870906121,All Results
2022-07-30,10.068280680280001,8.840816029653409,4.877153878643436,8.571383242534091,9.369234523342817,All Results
2022-08-06,9.997444780580583,7.936787703690529,4.980862137048232,8.280611090071746,7.415947860605304,All Results
2022-08-13,9.351080314518928,7.2073607878477475,6.384994152836976,7.015462893167288,6.243643798664207,All Results
2022-08-20,8.599173850256868,6.865409048527643,5.740084707076083,6.299860626008463,5.603003022242773,All Results
2022-08-27,8.007908807915499,6.460995461544876,5.851069678983349,6.393918119776836,5.347388352780789,All Results
2022-09-03,6.570181645760515,5.757373497902878,5.292045426787193,6.009157406815229,4.782551670664635,All Results
2022-09-10,6.595367322425693,5.535994843740341,5.994962283330573,5.844945066110785,4.455066756962248,All Results
2022-09-17,5.7468504832182985,5.132448138258757,6.758995903662733,4.7076284682759235,4.342281930934338,All Results
2022-09-24,4.28571143546786,4.540192686223479,4.734050350243744,4.39045041112701,4.82186782147216,All Results
2022-10-01,3.6893421669441944,3.690836291449326,6.124677077037189,2.2215274776802514,3.992976976769762,All Results
2022-10-08,4.0379829975639385,3.390222789087418,4.590068448117592,2.014017857526317,3.5229542094460857,All Results
2022-10-15,3.8168622209160903,3.379504809909491,5.856584900000831,2.0349360723086662,3.2310893314164835,All Results
2022-10-22,4.424720545157713,3.383561898789297,3.66343627008286,2.1620185501972657,3.3221482415480112,All Results
2022-10-29,5.221751480702442,3.996089541389028,4.527062938752572,2.7350031459492,3.5793822866693272,All Results
2022-11-05,5.321319179676679,4.081918492841485,4.005793347429432,2.6694971300136414,4.113488296050099,All Results
2022-11-12,5.188477118645106,4.109935804493214,3.0855637866831223,2.3143045391134174,5.155776071933885,All Results
2022-11-19,5.343896750408069,4.572147943488801,3.7458324395087477,2.6438293851320918,7.291084516735273,All Results
2022-11-26,6.93013015657981,5.3223572021911965,3.9464286173474434,3.1936404078678358,8.165162663273298,All Results
2022-12-03,9.4247338421112,8.536892818571982,6.377825685293396,6.888498785642179,11.042465343763563,All Results
2022-12-10,9.581308691689246,8.47053877829832,8.01507473918997,6.3305405133746895,10.496538359363583,All Results
2022-12-17,10.846270367106149,9.029043803500633,8.518844240551326,7.433529099634919,9.25524904706261,All Results
2022-12-24,9.881580911962176,9.40395618890144,8.496145106537032,9.90668382602007,8.901673473999733,All Results
2022-12-31,10.981239670914634,10.724419422640684,9.764904944503089,12.936586013131057,9.076660167073033,All Results
2023-01-07,7.358137076426026,8.25296794673904,7.31510693035954,10.83181614444864,7.998125282902562,All Results
2023-01-14,5.388707782075389,5.8595390013246345,5.658557082654527,7.050338531512779,5.316620706877348,All Results
2023-01-21,5.329114767342742,5.643679836782774,6.390736809593942,6.568508804423269,4.825626585921654,All Results
2023-01-28,5.774542557669243,5.7813828975213895,6.756801085636304,6.693141431043384,4.427512034015826,All Results
2023-02-04,5.6992224671741525,6.023326448703358,6.2458552005125565,6.787463229696195,6.047294086728807,All Results
2023-02-11,6.023656808313355,5.9381101279607895,4.531099669970712,6.454272525268946,6.424790715029577,All Results
2023-02-18,6.921537775445701,6.266329398928165,5.305016455817298,5.337888144702224,6.920448746821151,All Results
2023-02-25,6.489052871187828,5.751964558068654,5.252412680852829,4.003391934613352,6.820750975330181,All Results
2023-03-04,5.868665990780325,5.121846708257681,3.722611007302187,3.6386354077070977,5.969752229665545,All Results
2023-03-11,5.821719635422967,4.349095628348835,2.5912663097451936,2.7500633903026657,5.356011729627525,All Results
2023-03-18,5.843276092302069,4.589847243033237,3.462000134871137,2.8473002096491142,5.943106039181916,All Results
2023-03-25,5.508631802174984,4.338462537232035,2.925624944237119,3.343499107791125,5.136551797249233,All Results
2023-04-01,4.221972683491465,3.4046776312861144,1.8437173777158797,2.9019987804256377,4.193934278065531,All Results
2023-04-08,4.015062470171683,2.819990839965917,1.4760340807888412,2.2688946927001283,3.256248595348547,All Results
2023-04-15,3.254462994249054,2.7484915173864444,1.4333481726016004,2.23524507621909,3.2637049786692085,All Results
2023-04-22,2.9922558471510348,2.1548701824322074,1.0943707591026346,1.7884204261423762,2.5670333333663735,All Results
2023-04-29,2.256709179014104,1.9154750582731093,1.2187594799294281,1.70777488742925,2.1634799713555024,All Results
2023-05-06,2.323211927740824,2.010804952857937,1.3958716007282645,1.9179791022402106,2.3837213632469747,All Results
2023-05-13,2.2827866208974426,1.9117646352832511,1.2466119552155244,1.7255946388029813,2.171131641775296,All Results
2023-05-20,1.758723659512131,1.666971466379957,1.0679348950860452,1.6591668794480308,2.0326982288909785,All Results
2023-05-27,1.7136163855499258,1.5344678659205813,1.11801419229244,1.4094470601026612,1.6236919863223451,All Results
2023-06-03,1.2618600302395282,1.2875191267146289,1.0,1.4720275272786683,1.5168522288251671,All Results
2023-06-10,1.0638870573891235,1.123189858056,0.9964864655966799,1.2665583939210512,1.3677058276142848,All Results
2023-06-17,1.099195356450418,1.1372909736865908,1.0108768675025424,1.2522166126943233,1.228137896215914,All Results
2023-06-24,1.0,1.1497925401790186,1.0250710469765438,1.3763532934123701,1.5223987250942592,All Results
2023-07-01,1.1673049884181395,1.314254066175585,1.0775889614758696,1.650728048794117,1.7682734716958441,All Results
2023-07-08,1.2655512026045233,1.5660302005742004,1.3498065750813786,1.8750774558401513,1.769264434319935,All Results
2023-07-08,1.2655512026045233,1.5660302005742004,1.3498065750813786,1.8750774558401513,1.769264434319935,1 Year
2023-07-15,1.3743587507345272,1.7583062311820623,1.626945155411625,1.97433022311029,2.499213079554886,All Results
2023-07-15,1.3743587507345272,1.7583062311820623,1.626945155411625,1.97433022311029,2.499213079554886,1 Year
2023-07-22,1.5964325154418735,2.069622235371448,2.0516401044648465,2.1968126262950327,2.898495887554091,All Results
2023-07-22,1.5964325154418735,2.069622235371448,2.0516401044648465,2.1968126262950327,2.898495887554091,1 Year
2023-07-29,1.7945262190467595,2.6007253906785017,2.38031942042781,3.0669661740266445,3.7756783799391167,All Results
2023-07-29,1.7945262190467595,2.6007253906785017,2.38031942042781,3.0669661740266445,3.7756783799391167,1 Year
2023-08-05,2.2218587440813016,3.1025123212430605,2.605525606738884,3.935050252530384,4.382327331675974,All Results
2023-08-05,2.2218587440813016,3.1025123212430605,2.605525606738884,3.935050252530384,4.382327331675974,1 Year
2023-08-12,2.8967463213636195,3.9146487284278892,3.403802386399505,5.021201850723421,5.4188704399694,All Results
2023-08-12,2.8967463213636195,3.9146487284278892,3.403802386399505,5.021201850723421,5.4188704399694,1 Year
2023-08-19,3.6306489285329504,4.262597217894848,3.0990700878569397,5.392384483100918,5.345890251846394,All Results
2023-08-19,3.6306489285329504,4.262597217894848,3.0990700878569397,5.392384483100918,5.345890251846394,1 Year
2023-08-26,4.083535572174988,4.679524191624298,3.587033898973787,6.123525133703554,5.568672966746797,All Results
2023-08-26,4.083535572174988,4.679524191624298,3.587033898973787,6.123525133703554,5.568672966746797,1 Year
2023-09-02,4.842604402884976,5.499167385512188,4.311720119913138,6.5690086492953785,6.306837650185859,All Results
2023-09-02,4.842604402884976,5.499167385512188,4.311720119913138,6.5690086492953785,6.306837650185859,1 Year
2023-09-09,5.8131527034533885,6.065803887444737,5.492621720784134,6.96390528792753,6.117399023745385,All Results
2023-09-09,5.8131527034533885,6.065803887444737,5.492621720784134,6.96390528792753,6.117399023745385,1 Year
2023-09-16,5.34575742462324,5.397731897734024,6.2859179380762535,4.782732401269632,5.389462198281728,All Results
